Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,GSW,Joe Barry Carroll,Purdue University,10,705,22838,12455,5404,1264,.474,.000,.747,32.4,17.7,7.7,1.8,35.6,.075,-0.7,7.5
2,2,UTA,Darrell Griffith,University of Louisville,10,765,21403,12391,2519,1627,.463,.332,.707,28.0,16.2,3.3,2.1,22.0,.049,-1.3,3.6
3,3,BOS,Kevin McHale,University of Minnesota,13,971,30118,17335,7122,1670,.554,.261,.798,31.0,17.9,7.3,1.7,113.0,.180,2.5,33.9
4,4,CHI,Kelvin Ransey,Ohio State University,6,474,11586,5380,901,2480,.454,.132,.782,24.4,11.4,1.9,5.2,17.9,.074,-2.4,-1.3
5,5,DEN,James Ray,Jacksonville University,3,103,843,334,228,76,.428,.333,.629,8.2,3.2,2.2,0.7,-0.3,-.017,-4.2,-0.5
6,6,NJN,Mike O'Koren,University of North Carolina,8,407,8810,3355,1391,856,.490,.271,.651,21.6,8.2,3.4,2.1,14.6,.080,-0.5,3.2
7,7,NJN,Mike Gminski,Duke University,14,938,24058,10953,6480,1203,.465,.122,.843,25.6,11.7,6.9,1.3,55.9,.111,-0.6,8.7
8,8,PHI,Andrew Toney,University of Louisiana at Lafayette,8,468,12608,7458,1009,1965,.500,.342,.797,26.9,15.9,2.2,4.2,26.9,.103,-1.2,2.6
9,9,SDC,Michael Brooks,La Salle University,6,319,9372,4086,2001,818,.486,.152,.714,29.4,12.8,6.3,2.6,16.5,.085,1.0,7.1
10,10,POR,Ronnie Lester,University of Iowa,6,250,4959,1816,473,1003,.469,.227,.788,19.8,7.3,1.9,4.0,6.3,.061,-2.7,-0.8
