Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Kareem Abdul-Jabbar,23,MIL,133.0,698.0,780,0.895,82,40.1,31.7,16.0,3.3,,.577,,.690,22.3,.326
2,Jerry West,32,LAL,4.0,166.0,780,0.213,69,41.2,26.9,4.6,9.5,,.494,,.832,12.8,.215
3,Dave Bing,27,DET,6.0,119.0,780,0.153,82,37.4,27.0,4.4,5.0,,.467,,.797,11.7,.183
4,Willis Reed,28,NYK,5.0,109.0,780,0.140,73,39.1,20.9,13.7,2.0,,.462,,.785,10.6,.179
5,Oscar Robertson,32,MIL,5.0,63.0,780,0.081,81,39.4,19.4,5.7,8.2,,.496,,.850,12.4,.186
6,John Havlicek,30,BOS,1.0,56.0,780,0.072,81,45.4,28.9,9.0,7.5,,.450,,.818,12.5,.164
7,Bob Love,28,CHI,0.0,38.0,780,0.049,81,43.0,25.2,8.5,2.3,,.447,,.829,9.9,.137
8,Nate Thurmond,29,SFW,0.0,33.0,780,0.042,82,40.9,20.0,13.8,3.1,,.445,,.730,7.2,.103
9,Billy Cunningham,27,PHI,1.0,25.0,780,0.032,81,38.1,23.0,11.7,4.9,,.462,,.734,10.0,.156
10,Gus Johnson,32,BAL,1.0,15.0,780,0.019,66,38.5,18.2,17.1,2.9,,.453,,.738,7.2,.136
