Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOH,Anthony Davis,University of Kentucky,6,410,14258,9607,4234,764,.517,.309,.795,34.8,23.4,10.3,1.9,62.5,.210,4.3,22.6
2,2,CHA,Michael Kidd-Gilchrist,University of Kentucky,6,357,9518,3263,2107,440,.477,.194,.707,26.7,9.1,5.9,1.2,18.7,.094,-1.1,2.2
3,3,WAS,Bradley Beal,University of Florida,6,406,13751,7585,1516,1376,.446,.393,.795,33.9,18.7,3.7,3.4,28.9,.101,0.6,8.9
4,4,CLE,Dion Waiters,Syracuse University,6,365,10490,4867,968,1022,.412,.341,.701,28.7,13.3,2.7,2.8,7.5,.034,-2.6,-1.6
5,5,SAC,Thomas Robinson,University of Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.2,-1.3
6,6,POR,Damian Lillard,Weber State University,6,469,17069,10842,1918,2928,.432,.368,.884,36.4,23.1,4.1,6.2,58.2,.164,3.7,24.5
7,7,GSW,Harrison Barnes,University of North Carolina,6,463,14059,6057,2284,715,.451,.367,.789,30.4,13.1,4.9,1.5,26.1,.089,-1.2,2.9
8,8,TOR,Terrence Ross,University of Washington,6,411,9792,3940,1086,400,.421,.371,.798,23.8,9.6,2.6,1.0,14.9,.073,-0.9,2.6
9,9,DET,Andre Drummond,University of Connecticut,6,463,14064,6291,6192,514,.545,.167,.421,30.4,13.6,13.4,1.1,46.4,.158,1.6,12.7
10,10,NOH,Austin Rivers,Duke University,6,408,9895,3839,826,987,.419,.355,.649,24.3,9.4,2.0,2.4,7.9,.038,-2.6,-1.6
