Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,Greg Oden,Ohio State University,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,1.1,1.6
2,2,SEA,Kevin Durant,University of Texas at Austin,11,771,28603,20913,5495,3029,.490,.384,.882,37.1,27.1,7.1,3.9,130.2,.219,5.1,51.5
3,3,ATL,Al Horford,University of Florida,11,718,23812,10167,6139,2265,.525,.370,.750,33.2,14.2,8.6,3.2,78.3,.158,3.1,30.7
4,4,MEM,Mike Conley,Ohio State University,11,718,23358,10255,2088,4060,.441,.377,.814,32.5,14.3,2.9,5.7,63.4,.130,1.8,22.5
5,5,BOS,Jeff Green,Georgetown University,10,783,23722,10374,3566,1234,.438,.332,.799,30.3,13.2,4.6,1.6,36.6,.074,-1.3,4.0
6,6,MIL,Yi Jianlian,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.7,-4.1
7,7,MIN,Corey Brewer,University of Florida,11,783,18246,6941,2203,1209,.425,.283,.713,23.3,8.9,2.8,1.5,21.5,.057,-1.0,4.6
8,8,CHA,Brandan Wright,University of North Carolina,10,428,6949,2976,1560,199,.607,.000,.674,16.2,7.0,3.6,0.5,26.2,.181,1.6,6.4
9,9,CHI,Joakim Noah,University of Florida,11,625,17903,5569,5804,1811,.490,.000,.699,28.6,8.9,9.3,2.9,59.6,.160,4.2,27.8
10,10,SAC,Spencer Hawes,University of Washington,10,684,15541,5932,3893,1271,.457,.350,.716,22.7,8.7,5.7,1.9,22.6,.070,-0.7,5.0
