Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,Louisiana State University,1,81,2732,1279,659,661,.545,.000,.560,33.7,15.8,8.1,8.2,9.2,.162,4.6,4.6
2,2,LAL,Brandon Ingram,Duke University,2,138,4254,1689,630,396,.438,.329,.655,30.8,12.2,4.6,2.9,2.5,.028,-2.6,-0.7
3,3,BOS,Jaylen Brown,University of California,2,148,3493,1532,567,178,.461,.379,.658,23.6,10.4,3.8,1.2,6.0,.082,-1.6,0.3
4,4,PHO,Dragan Bender,2,125,2643,677,464,153,.378,.345,.694,21.1,5.4,3.7,1.2,-0.3,-.005,-3.0,-0.7
5,5,MIN,Kris Dunn,Providence College,2,130,2858,992,387,498,.413,.309,.690,22.0,7.6,3.0,3.8,1.0,.016,-1.1,0.7
6,6,NOP,Buddy Hield,University of Oklahoma,2,162,3912,1945,576,276,.437,.412,.860,24.1,12.0,3.6,1.7,4.1,.050,-1.4,0.6
7,7,DEN,Jamal Murray,University of Kentucky,2,163,4329,2163,511,444,.432,.359,.898,26.6,13.3,3.1,2.7,6.9,.076,-1.2,0.9
8,8,SAC,Marquese Chriss,University of Washington,2,154,3270,1309,743,143,.438,.309,.617,21.2,8.5,4.8,0.9,2.5,.037,-1.8,0.2
9,9,TOR,Jakob Poeltl,University of Utah,2,136,2150,732,558,69,.641,.500,.576,15.8,5.4,4.1,0.5,7.2,.161,2.2,2.3
10,10,MIL,Thon Maker,2,131,1800,582,339,69,.429,.331,.683,13.7,4.4,2.6,0.5,2.8,.074,-2.3,-0.1
