Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Bob Pettit,23,STL,33.0,80,0.413,72,38.8,25.7,16.2,2.6,,.429,,.736,13.8,.236
2,Paul Arizin,27,PHW,21.0,80,0.263,72,37.8,24.2,7.5,2.6,,.448,,.810,12.2,.214
3,Bob Cousy,27,BOS,11.0,80,0.138,72,38.4,18.8,6.8,8.9,,.360,,.844,6.8,.119
4,Mel Hutchins,27,FTW,9.0,80,0.113,66,33.9,12.0,7.5,2.7,,.425,,.643,4.4,.095
5T,Dolph Schayes,27,SYR,2.0,80,0.025,72,35.0,20.4,12.4,2.8,,.387,,.858,11.8,.225
5T,Bill Sharman,29,BOS,2.0,80,0.025,72,37.5,19.9,3.6,4.7,,.438,,.867,8.8,.157
7T,Tom Gola,23,PHW,1.0,80,0.013,68,34.5,10.8,9.1,5.9,,.412,,.733,6.5,.132
7T,Maurice Stokes,22,ROC,1.0,80,0.013,67,34.7,16.8,16.3,4.9,,.354,,.714,6.0,.125
