Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,Mychal Thompson,University of Minnesota,12,935,27764,12810,6951,2141,.504,.083,.655,29.7,13.7,7.4,2.3,59.1,.102,0.6,18.2
2,2,KCK,Phil Ford,University of North Carolina,7,482,13503,5594,854,3083,.467,.210,.820,28.0,11.6,1.8,6.4,23.3,.083,-2.1,-0.4
3,3,IND,Rick Robey,University of Kentucky,8,493,8824,3723,2301,611,.501,.125,.650,17.9,7.6,4.7,1.2,15.8,.086,-1.5,1.1
4,4,NYK,Micheal Ray Richardson,University of Montana,8,556,18589,8253,3056,3899,.457,.220,.690,33.4,14.8,5.5,7.0,35.2,.091,3.5,25.9
5,5,GSW,Purvis Short,Jackson State University,12,842,24549,14607,3625,2123,.474,.282,.824,29.2,17.3,4.3,2.5,51.1,.100,-0.1,11.6
6,6,BOS,Larry Bird,Indiana State University,13,897,34443,21791,8974,5695,.496,.376,.886,38.4,24.3,10.0,6.3,145.8,.203,7.2,79.7
7,7,POR,Ron Brewer,University of Arkansas,8,501,12892,5971,971,920,.459,.248,.824,25.7,11.9,1.9,1.8,17.3,.065,-2.3,-0.8
8,8,BOS,Freeman Williams,Portland State University,6,323,6606,4738,510,516,.467,.331,.824,20.5,14.7,1.6,1.6,10.0,.072,-3.2,-2.1
9,9,CHI,Reggie Theus,University of Nevada, Las Vegas,13,1026,34603,19015,3349,6453,.471,.252,.826,33.7,18.5,3.3,6.3,66.9,.093,0.1,18.4
10,10,ATL,Butch Lee,Marquette University,2,96,1834,773,137,307,.450,,.761,19.1,8.1,1.4,3.2,2.4,.062,-2.7,-0.3
