Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Bill Russell,23,BOS,33.0,228.0,400,0.570,69,38.3,16.6,22.7,2.9,,.442,,.519,11.3,.206
2,Dolph Schayes,29,SYR,25.0,198.0,400,0.495,72,40.5,24.9,14.2,3.1,,.398,,.904,13.7,.226
3,George Yardley,29,DET,12.0,120.0,400,0.300,72,39.5,27.8,10.7,1.3,,.414,,.811,12.3,.208
4,Bob Pettit,25,STL,4.0,97.0,400,0.243,70,36.1,24.6,17.4,2.2,,.410,,.749,11.0,.209
5,Maurice Stokes,24,CIN,2.0,28.0,400,0.070,63,39.0,16.9,18.1,6.4,,.351,,.715,4.5,.088
6,Bob Cousy,29,BOS,2.0,18.0,400,0.045,65,34.2,18.0,5.0,7.1,,.353,,.850,5.4,.116
7,Bill Sharman,31,BOS,2.0,11.0,400,0.028,63,35.1,22.3,4.7,2.7,,.424,,.893,8.7,.189
8,Paul Arizin,29,PHW,0.0,8.0,400,0.020,68,35.0,20.7,7.4,2.0,,.393,,.809,7.7,.156
9,Walter Dukes,27,DET,0.0,4.0,400,0.010,72,30.3,11.2,13.3,0.7,,.349,,.675,2.4,.052
10,Vern Mikkelsen,29,MNL,0.0,3.0,400,0.008,72,33.2,17.3,11.2,2.3,,.410,,.786,6.5,.130
11,Cliff Hagan,26,STL,0.0,2.0,400,0.005,70,31.3,19.9,10.1,2.5,,.443,,.768,10.0,.220
12T,Neil Johnston,28,PHW,0.0,1.0,400,0.003,71,33.9,19.5,11.1,2.3,,.429,,.819,11.3,.224
12T,Clyde Lovellette,28,CIN,0.0,1.0,400,0.003,71,36.5,23.4,12.1,1.9,,.441,,.743,10.1,.187
12T,Kenny Sears,24,NYK,0.0,1.0,400,0.003,72,37.3,18.6,10.9,1.8,,.439,,.822,10.0,.179
