Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,Bill Walton,University of California, Los Angeles,10,468,13250,6215,4923,1590,.521,.000,.660,28.3,13.3,10.5,3.4,39.3,.142,4.4,21.4
2,2,PHI,Marvin Barnes,Providence College,4,171,3718,1569,946,252,.442,,.672,21.7,9.2,5.5,1.5,4.4,.057,-1.3,0.6
3,3,SEA,Tom Burleson,North Carolina State University,7,446,9425,4190,2794,601,.445,.000,.726,21.1,9.4,6.3,1.3,22.9,.117,0.6,6.2
4,4,PHO,John Shumate,University of Notre Dame,5,318,9201,3920,2388,574,.516,.000,.720,28.9,12.3,7.5,1.8,24.5,.128,0.7,6.3
5,5,HOU,Bobby Jones,University of North Carolina,10,774,20177,8911,4256,1888,.550,.000,.780,26.1,11.5,5.5,2.4,73.7,.175,4.3,32.0
6,6,KCO,Scott Wedman,University of Colorado,13,906,25927,11916,4355,1771,.481,.335,.794,28.6,13.2,4.8,2.0,53.7,.099,0.0,12.9
7,7,ATL,Tom Henderson,University of Hawaii,9,650,17690,6088,1494,3136,.433,.000,.739,27.2,9.4,2.3,4.8,22.1,.060,-1.6,1.8
8,8,CLE,Campy Russell,University of Michigan,9,566,16781,8953,2696,1684,.459,.366,.772,29.6,15.8,4.8,3.0,35.8,.103,0.6,11.1
9,9,BUF,Tom McMillen,University of Maryland,11,729,14770,5914,2913,788,.483,.120,.806,20.3,8.1,4.0,1.1,27.2,.088,-2.3,-1.2
10,10,ATL,Mike Sojourner,University of Utah,3,191,4282,1658,1237,172,.480,,.671,22.4,8.7,6.5,0.9,8.2,.092,-2.2,-0.2
