Type,Name,Stat-Value
Minutes Played,Michael Jordan, 3255
Field Goals,Michael Jordan, 966
Field Goal Attempts,Alex English, 1881
2-Pt Field Goals,Michael Jordan, 939
2-Pt Field Goal Attempts,Alex English, 1873
3-Pt Field Goals,Michael Adams, 166
3-Pt Field Goal Attempts,Michael Adams, 466
Field Goals Missed,Alex English, 957
Free Throws,Karl Malone, 703
Free Throw Attempts,Karl Malone, 918
Offensive Rebounds,Charles Barkley, 403
Defensive Rebounds,Hakeem Olajuwon, 767
Total Rebounds,Hakeem Olajuwon, 1105
Assists,John Stockton, 1118
Steals,John Stockton, 263
Blocks,Manute Bol, 345
Turnovers,Kevin Johnson, 322
Personal Fouls,Grant Long, 337
Points,Michael Jordan, 2633
Field Goal Pct,Dennis Rodman, .595
2-Pt Field Goal Pct,Charles Barkley, .636
3-Pt Field Goal Pct,Jon Sundvold, .522
Free Throw Pct,Magic Johnson, .911
Minutes Per Game,Michael Jordan, 40.2
Points Per Game,Michael Jordan, 32.5
Rebounds Per Game,Hakeem Olajuwon, 13.5
Assists Per Game,John Stockton, 13.6
Steals Per Game,John Stockton, 3.2
Blocks Per Game,Manute Bol, 4.3
Player Efficiency Rating,Michael Jordan, 31.1
True Shooting Pct,Charles Barkley, .653
Effective Field Goal Pct,Dennis Rodman, .601
Offensive Rebound Pct,Dennis Rodman, 17.6
Defensive Rebound Pct,Hakeem Olajuwon, 27.2
Total Rebound Pct,Robert Parish, 20.1
Assist Pct,John Stockton, 54.3
Steal Pct,John Stockton, 4.1
Block Pct,Manute Bol, 10.8
Turnover Pct,Robert Reid, 7.5
Usage Pct,Michael Jordan, 32.1
Offensive Rating,Charles Barkley, 127.1
Defensive Rating,Hakeem Olajuwon, 94.9
Offensive Win Shares,Michael Jordan, 14.6
Defensive Win Shares,Hakeem Olajuwon, 7.8
Win Shares,Michael Jordan, 19.8
Win Shares Per 48 Minutes,Michael Jordan, .292
Box Plus/Minus,Michael Jordan, 12.6
Offensive Box Plus/Minus,Michael Jordan, 9.8
Defensive Box Plus/Minus,Mark Eaton, 6.1
Value Over Replacement Player,Michael Jordan, 12.0
