Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

San Antonio Spurs,37,13,.740,92.8,84.7,7.12
Utah Jazz,37,13,.740,93.3,86.8,5.54
Houston Rockets,31,19,.620,94.2,91.9,1.39
Minnesota Timberwolves,25,25,.500,92.9,92.6,-0.17
Dallas Mavericks,19,31,.380,91.6,94.0,-2.50
Denver Nuggets,14,36,.280,93.5,100.1,-6.67
Vancouver Grizzlies,8,42,.160,88.9,97.5,-8.94

Portland Trail Blazers,35,15,.700,94.8,88.5,5.67
Los Angeles Lakers,31,19,.620,99.0,96.0,2.68
Phoenix Suns,27,23,.540,95.6,93.3,2.15
Sacramento Kings,27,23,.540,100.2,100.6,-0.89
Seattle SuperSonics,25,25,.500,94.9,95.9,-1.43
Golden State Warriors,21,29,.420,88.3,90.8,-2.63
Los Angeles Clippers,9,41,.180,90.4,99.2,-8.94
