Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

New Jersey Nets,47,35,.573,90.3,87.8,1.88
Miami Heat,42,40,.512,90.3,89.7,-0.13
New York Knicks,39,43,.476,92.0,93.5,-1.97
Boston Celtics,36,46,.439,95.3,96.7,-1.99
Philadelphia 76ers,33,49,.402,88.0,90.5,-2.95
Washington Wizards,25,57,.305,91.8,97.4,-6.12
Orlando Magic,21,61,.256,94.0,101.1,-7.25

Indiana Pacers,61,21,.744,91.4,85.6,4.93
Detroit Pistons,54,28,.659,90.1,84.3,5.04
New Orleans Hornets,41,41,.500,91.8,91.9,-0.72
Milwaukee Bucks,41,41,.500,98.0,97.0,0.42
Cleveland Cavaliers,35,47,.427,92.9,95.5,-3.07
Toronto Raptors,33,49,.402,85.4,88.5,-3.42
Atlanta Hawks,28,54,.341,92.8,97.5,-5.00
Chicago Bulls,23,59,.280,89.7,96.0,-6.69
