Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS
Cleveland Cavaliers,57,25,.695,104.3,98.3,5.45
Toronto Raptors,56,26,.683,102.7,98.2,4.08
Miami Heat,48,34,.585,100.0,98.4,1.50
Atlanta Hawks,48,34,.585,102.8,99.2,3.49
Boston Celtics,48,34,.585,105.7,102.5,2.84
Charlotte Hornets,48,34,.585,103.4,100.7,2.36
Indiana Pacers,45,37,.549,102.2,100.5,1.62
Detroit Pistons,44,38,.537,102.0,101.4,0.43
Chicago Bulls,42,40,.512,101.6,103.1,-1.46
Washington Wizards,41,41,.500,104.1,104.6,-0.50
Orlando Magic,35,47,.427,102.1,103.7,-1.68
Milwaukee Bucks,33,49,.402,99.0,103.2,-3.98
New York Knicks,32,50,.390,98.4,101.1,-2.74
Brooklyn Nets,21,61,.256,98.6,106.0,-7.12
Philadelphia 76ers,10,72,.122,97.4,107.6,-9.92
