Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

San Antonio Spurs,58,24,.707,96.7,90.5,6.28
Dallas Mavericks,57,25,.695,105.2,101.0,4.41
Minnesota Timberwolves,50,32,.610,99.3,96.0,3.58
Utah Jazz,44,38,.537,96.0,95.1,1.21
Houston Rockets,28,54,.341,92.3,97.2,-4.31
Denver Nuggets,27,55,.329,92.2,98.0,-5.19
Memphis Grizzlies,23,59,.280,89.9,97.3,-6.74

Sacramento Kings,61,21,.744,104.6,97.0,7.61
Los Angeles Lakers,58,24,.707,101.3,94.1,7.15
Portland Trail Blazers,49,33,.598,96.6,93.7,3.21
Seattle SuperSonics,45,37,.549,97.7,94.7,3.24
Los Angeles Clippers,39,43,.476,95.7,96.1,-0.09
Phoenix Suns,36,46,.439,95.1,95.8,-0.30
Golden State Warriors,21,61,.256,97.7,103.1,-4.80
