Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

San Antonio Spurs,59,23,.720,103.4,97.1,5.98
Utah Jazz,55,27,.671,102.5,95.9,6.25
Houston Rockets,48,34,.585,102.5,100.7,1.63
Denver Nuggets,35,47,.427,97.7,100.4,-2.62
Minnesota Timberwolves,26,56,.317,97.9,103.2,-5.14
Dallas Mavericks,26,56,.317,102.5,107.5,-4.71
Vancouver Grizzlies,15,67,.183,89.8,99.8,-9.55

Seattle SuperSonics,64,18,.780,104.5,96.7,7.40
Los Angeles Lakers,53,29,.646,102.9,98.5,4.21
Portland Trail Blazers,44,38,.537,99.3,97.0,2.21
Phoenix Suns,41,41,.500,104.3,104.0,0.28
Sacramento Kings,39,43,.476,99.5,102.3,-2.62
Golden State Warriors,36,46,.439,101.6,103.1,-1.42
Los Angeles Clippers,29,53,.354,99.4,103.0,-3.46
