Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Portland Trail Blazers,51,31,.622,102.8,98.6,4.41
Oklahoma City Thunder,45,37,.549,104.0,101.8,2.47
Utah Jazz,38,44,.463,95.1,94.9,0.71
Denver Nuggets,30,52,.366,101.5,105.0,-3.07
Minnesota Timberwolves,16,66,.195,97.8,106.5,-8.00

Golden State Warriors,67,15,.817,110.0,99.9,10.01
Los Angeles Clippers,56,26,.683,106.7,100.1,6.80
Phoenix Suns,39,43,.476,102.4,103.3,-0.38
Sacramento Kings,29,53,.354,101.3,105.0,-3.07
Los Angeles Lakers,21,61,.256,98.5,105.3,-6.17

Houston Rockets,56,26,.683,103.9,100.5,3.82
San Antonio Spurs,55,27,.671,103.2,97.0,6.34
Memphis Grizzlies,55,27,.671,98.3,95.1,3.62
Dallas Mavericks,50,32,.610,105.2,102.3,3.36
New Orleans Pelicans,45,37,.549,99.4,98.6,1.13
