Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Toronto Raptors,48,34,.585,101.3,98.0,2.55
Brooklyn Nets,44,38,.537,98.5,99.5,-1.58
New York Knicks,37,45,.451,98.6,99.4,-1.40
Boston Celtics,25,57,.305,96.2,100.7,-4.97
Philadelphia 76ers,19,63,.232,99.5,109.9,-10.66

Indiana Pacers,56,26,.683,96.7,92.3,3.63
Chicago Bulls,48,34,.585,93.7,91.8,1.20
Cleveland Cavaliers,33,49,.402,98.2,101.5,-3.86
Detroit Pistons,29,53,.354,101.0,104.7,-4.13
Milwaukee Bucks,15,67,.183,95.5,103.7,-8.41

Miami Heat,54,28,.659,102.2,97.4,4.15
Washington Wizards,44,38,.537,100.7,99.4,0.48
Charlotte Bobcats,43,39,.524,96.9,97.1,-0.89
Atlanta Hawks,38,44,.463,101.0,101.5,-0.88
Orlando Magic,23,59,.280,96.5,102.0,-5.88
