Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Utah Jazz,64,18,.780,103.1,94.3,7.97
Houston Rockets,57,25,.695,100.6,96.1,3.85
Minnesota Timberwolves,40,42,.488,96.1,97.6,-1.82
Dallas Mavericks,24,58,.293,90.6,97.0,-6.47
Denver Nuggets,21,61,.256,97.8,104.1,-6.40
San Antonio Spurs,20,62,.244,90.5,98.3,-7.93
Vancouver Grizzlies,14,68,.171,89.2,99.4,-10.17

Seattle SuperSonics,57,25,.695,100.9,93.2,6.91
Los Angeles Lakers,56,26,.683,100.0,95.7,3.66
Portland Trail Blazers,49,33,.598,99.0,94.8,3.56
Phoenix Suns,40,42,.488,102.8,102.2,0.21
Los Angeles Clippers,36,46,.439,97.2,99.5,-2.66
Sacramento Kings,34,48,.415,96.4,99.8,-3.64
Golden State Warriors,30,52,.366,99.6,104.4,-4.90
