Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,51,31,.622,106.6,103.0,3.41
New York Knicks,51,31,.622,101.6,97.7,3.67
New Jersey Nets,40,42,.488,105.4,107.1,-1.54
Miami Heat,38,44,.463,105.0,109.2,-3.94
Philadelphia 76ers,35,47,.427,101.9,103.2,-1.34
Washington Bullets,25,57,.305,102.4,106.8,-4.35
Orlando Magic,21,61,.256,101.6,108.5,-6.52

Chicago Bulls,67,15,.817,109.9,99.5,10.07
Cleveland Cavaliers,57,25,.695,108.9,103.4,5.34
Detroit Pistons,48,34,.585,98.9,96.9,2.06
Indiana Pacers,40,42,.488,112.2,110.3,1.85
Atlanta Hawks,38,44,.463,106.2,107.7,-1.15
Milwaukee Bucks,31,51,.378,105.0,106.7,-1.46
Charlotte Hornets,31,51,.378,109.5,113.4,-3.57
