Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Philadelphia 76ers,53,29,.646,110.2,105.2,4.23
Boston Celtics,52,30,.634,110.0,106.0,3.23
New York Knicks,45,37,.549,108.3,106.9,0.78
Washington Bullets,31,51,.378,107.7,109.9,-2.43
Miami Heat,18,64,.220,100.6,110.3,-9.59
New Jersey Nets,17,65,.207,100.1,108.0,-7.82

Detroit Pistons,59,23,.720,104.3,98.3,5.41
Chicago Bulls,55,27,.671,109.5,106.2,2.74
Milwaukee Bucks,44,38,.537,106.0,106.8,-1.06
Cleveland Cavaliers,42,40,.512,102.6,102.9,-0.62
Indiana Pacers,42,40,.512,109.3,109.1,-0.18
Atlanta Hawks,41,41,.500,108.5,107.5,0.64
Orlando Magic,18,64,.220,110.9,119.8,-8.73
