Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

San Antonio Spurs,52,30,.634,112.3,109.4,2.18
Kansas City Kings,40,42,.488,106.9,106.9,-0.49
Houston Rockets,40,42,.488,108.3,107.9,-0.20
Denver Nuggets,37,45,.451,121.8,122.3,-0.95
Utah Jazz,28,54,.341,101.2,107.1,-5.99
Dallas Mavericks,15,67,.183,101.5,109.9,-8.33

Phoenix Suns,57,25,.695,110.0,104.5,4.83
Los Angeles Lakers,54,28,.659,111.2,107.3,3.27
Portland Trail Blazers,45,37,.549,110.7,109.8,0.52
Golden State Warriors,39,43,.476,109.8,111.0,-1.41
San Diego Clippers,36,46,.439,106.5,108.1,-1.78
Seattle SuperSonics,34,48,.415,104.0,105.7,-1.84
