Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Houston Rockets,51,31,.622,114.4,111.8,2.10
Denver Nuggets,47,35,.573,114.8,113.5,0.89
Dallas Mavericks,44,38,.537,115.3,114.2,0.70
Utah Jazz,42,40,.512,108.2,108.5,-0.67
Sacramento Kings,37,45,.451,108.8,111.9,-3.19
San Antonio Spurs,35,47,.427,111.2,113.1,-2.06

Los Angeles Lakers,62,20,.756,117.3,109.5,6.84
Portland Trail Blazers,40,42,.488,115.1,114.0,0.61
Phoenix Suns,32,50,.390,110.0,113.0,-3.16
Los Angeles Clippers,32,50,.390,108.6,115.5,-6.83
Seattle SuperSonics,31,51,.378,104.4,104.5,-0.47
Golden State Warriors,30,52,.366,113.4,116.9,-3.59
