Type,Name,Stat-Value
Minutes Played,Moses Malone, 3390
Field Goals,George Gervin, 947
Field Goal Attempts,George Gervin, 1749
2-Pt Field Goals,George Gervin, 947
2-Pt Field Goal Attempts,George Gervin, 1749
Field Goals Missed,World B. Free, 858
Free Throws,World B. Free, 654
Free Throw Attempts,World B. Free, 865
Offensive Rebounds,Moses Malone, 587
Defensive Rebounds,Moses Malone, 857
Total Rebounds,Moses Malone, 1444
Assists,Kevin Porter, 1099
Steals,Eddie Jordan, 201
Blocks,Kareem Abdul-Jabbar, 316
Turnovers,George McGinnis, 346
Personal Fouls,Bill Robinzine, 367
Points,George Gervin, 2365
Field Goal Pct,Cedric Maxwell, .584
2-Pt Field Goal Pct,Cedric Maxwell, .584
Free Throw Pct,Rick Barry, .947
Minutes Per Game,Moses Malone, 41.3
Points Per Game,George Gervin, 29.6
Rebounds Per Game,Moses Malone, 17.6
Assists Per Game,Kevin Porter, 13.4
Steals Per Game,M.L. Carr, 2.5
Blocks Per Game,Kareem Abdul-Jabbar, 4.0
Player Efficiency Rating,Kareem Abdul-Jabbar, 25.5
True Shooting Pct,Cedric Maxwell, .676
Effective Field Goal Pct,Cedric Maxwell, .584
Offensive Rebound Pct,Moses Malone, 19.2
Defensive Rebound Pct,Robert Parish, 29.2
Total Rebound Pct,Moses Malone, 23.2
Assist Pct,Kevin Porter, 47.0
Steal Pct,Quinn Buckner, 4.0
Block Pct,Tree Rollins, 7.7
Turnover Pct,Bingo Smith, 8.3
Usage Pct,John Drew, 30.9
Offensive Rating,Cedric Maxwell, 120.9
Defensive Rating,Robert Parish, 94.4
Offensive Win Shares,Moses Malone, 10.6
Defensive Win Shares,Jack Sikma, 5.7
Win Shares,Kareem Abdul-Jabbar, 14.4
Win Shares Per 48 Minutes,Kareem Abdul-Jabbar, .219
Box Plus/Minus,Kareem Abdul-Jabbar, 7.8
Offensive Box Plus/Minus,Marques Johnson, 5.1
Defensive Box Plus/Minus,George Johnson, 4.5
Value Over Replacement Player,Kareem Abdul-Jabbar, 7.8
