Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS
Houston Rockets,65,17,.793,112.4,103.9,8.21
Golden State Warriors,58,24,.707,113.5,107.5,5.79
Portland Trail Blazers,49,33,.598,105.6,103.0,2.60
Oklahoma City Thunder,48,34,.585,107.9,104.4,3.42
Utah Jazz,48,34,.585,104.1,99.8,4.47
New Orleans Pelicans,48,34,.585,111.7,110.4,1.48
San Antonio Spurs,47,35,.573,102.7,99.8,2.89
Minnesota Timberwolves,47,35,.573,109.5,107.3,2.35
Denver Nuggets,46,36,.561,110.0,108.5,1.57
Los Angeles Clippers,42,40,.512,109.0,109.0,0.15
Los Angeles Lakers,35,47,.427,108.1,109.6,-1.44
Sacramento Kings,27,55,.329,98.8,105.8,-6.60
Dallas Mavericks,24,58,.293,102.3,105.4,-2.70
Memphis Grizzlies,22,60,.268,99.3,105.5,-5.81
Phoenix Suns,21,61,.256,103.9,113.3,-8.80
