Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,HOU,John Lucas,University of Maryland,14,928,25556,9951,2151,6454,.449,.303,.776,27.5,10.7,2.3,7.0,53.7,.101,-0.4,10.3
2,2,CHI,Scott May,Indiana University,7,355,8029,3690,1450,610,.462,.000,.811,22.6,10.4,4.1,1.7,17.4,.104,-1.0,2.0
3,3,KCK,Richard Washington,University of California, Los Angeles,6,351,7874,3456,2204,409,.453,.250,.711,22.4,9.8,6.3,1.2,10.8,.066,-2.3,-0.6
4,4,DET,Leon Douglas,University of Alabama,7,456,10111,3587,2954,479,.495,.000,.601,22.2,7.9,6.5,1.1,15.2,.072,-1.6,1.1
5,5,POR,Wally Walker,University of Virginia,8,565,10168,3968,1759,844,.467,.200,.643,18.0,7.0,3.1,1.5,12.9,.061,-2.3,-0.8
6,6,BUF,Adrian Dantley,University of Notre Dame,15,955,34151,23177,5455,2830,.540,.171,.818,35.8,24.3,5.7,3.0,134.2,.189,3.1,44.0
7,7,MIL,Quinn Buckner,Indiana University,10,719,16245,5929,1969,3114,.461,.184,.657,22.6,8.2,2.7,4.3,24.7,.073,0.5,10.2
8,8,GSW,Robert Parish,Centenary College of Louisiana,21,1611,45704,23334,14715,2180,.537,.000,.721,28.4,14.5,9.1,1.4,147.0,.154,1.6,41.5
9,9,ATL,Armond Hill,Princeton University,8,468,11785,3214,917,2194,.408,.077,.829,25.2,6.9,2.0,4.7,11.3,.046,-2.4,-1.1
10,10,PHO,Ron Lee,University of Oregon,6,448,9586,3285,1219,1688,.416,.321,.705,21.4,7.3,2.7,3.8,10.7,.054,0.0,5.0
