Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,66,16,.805,100.5,90.3,9.30
Toronto Raptors,41,41,.500,100.2,97.3,2.47
Philadelphia 76ers,40,42,.488,96.6,96.2,0.19
New Jersey Nets,34,48,.415,95.8,100.9,-5.15
New York Knicks,23,59,.280,96.9,103.5,-6.55

Detroit Pistons,59,23,.720,97.5,90.1,6.67
Cleveland Cavaliers,45,37,.549,96.4,96.7,-0.53
Indiana Pacers,36,46,.439,104.0,105.4,-1.87
Chicago Bulls,33,49,.402,97.3,100.4,-3.19
Milwaukee Bucks,26,56,.317,97.0,103.9,-6.92

Orlando Magic,52,30,.634,104.5,99.0,4.79
Washington Wizards,43,39,.524,98.8,99.2,-0.61
Atlanta Hawks,37,45,.451,98.2,100.0,-2.23
Charlotte Bobcats,32,50,.390,97.1,101.4,-4.49
Miami Heat,15,67,.183,91.4,100.0,-8.53
