Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAL,James Worthy,University of North Carolina,12,926,30001,16320,4708,2791,.521,.241,.769,32.4,17.6,5.1,3.0,81.2,.130,1.8,28.5
2,2,SDC,Terry Cummings,DePaul University,18,1183,33898,19460,8630,2190,.484,.295,.706,28.7,16.4,7.3,1.9,91.1,.129,0.9,24.9
3,3,UTA,Dominique Wilkins,University of Georgia,15,1074,38113,26668,7169,2677,.461,.319,.811,35.5,24.8,6.7,2.5,117.5,.148,2.3,41.8
4,4,DAL,Bill Garnett,University of Wyoming,4,300,5260,1638,1298,393,.490,.000,.720,17.5,5.5,4.3,1.3,10.8,.099,0.1,2.7
5,5,KCK,LaSalle Thompson,University of Texas at Austin,15,985,21238,7806,6689,1139,.492,.154,.737,21.6,7.9,6.8,1.2,35.0,.079,-0.5,8.3
6,6,NYK,Trent Tucker,University of Minnesota,11,756,15671,6236,1520,1532,.461,.408,.754,20.7,8.2,2.0,2.0,34.3,.105,0.3,9.0
7,7,CHI,Quintin Dailey,University of San Francisco,10,528,12170,7470,1307,1188,.454,.158,.779,23.0,14.1,2.5,2.3,12.7,.050,-2.9,-2.7
8,8,IND,Clark Kellogg,Ohio State University,5,260,8514,4918,2482,764,.497,.338,.757,32.7,18.9,9.5,2.9,20.9,.118,2.1,8.9
9,9,DET,Cliff Levingston,Wichita State University,11,830,16962,5888,4307,752,.516,.152,.676,20.4,7.1,5.2,0.9,44.2,.125,1.4,14.4
10,10,ATL,Keith Edmonson,Purdue University,2,87,931,522,127,56,.448,.000,.719,10.7,6.0,1.5,0.6,0.4,.022,-4.6,-0.6
