Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS
Boston Celtics,53,29,.646,108.0,105.4,2.25
Cleveland Cavaliers,51,31,.622,110.3,107.2,2.87
Toronto Raptors,51,31,.622,106.9,102.6,3.65
Washington Wizards,49,33,.598,109.2,107.4,1.36
Atlanta Hawks,43,39,.524,103.2,104.0,-1.23
Milwaukee Bucks,42,40,.512,103.6,103.8,-0.45
Indiana Pacers,42,40,.512,105.1,105.3,-0.64
Chicago Bulls,41,41,.500,102.9,102.4,0.03
Miami Heat,41,41,.500,103.2,102.1,0.77
Detroit Pistons,37,45,.451,101.3,102.5,-1.29
Charlotte Hornets,36,46,.439,104.9,104.7,-0.07
New York Knicks,31,51,.378,104.3,108.0,-3.87
Orlando Magic,29,53,.354,101.1,107.6,-6.61
Philadelphia 76ers,28,54,.341,102.4,108.1,-5.83
Brooklyn Nets,20,62,.244,105.8,112.5,-6.74
