Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

New York Knicks,54,28,.659,100.0,95.7,3.73
Brooklyn Nets,49,33,.598,96.9,95.1,1.25
Boston Celtics,41,40,.506,96.5,96.7,-0.62
Philadelphia 76ers,34,48,.415,93.2,96.5,-3.51
Toronto Raptors,34,48,.415,97.2,98.7,-1.96

Indiana Pacers,49,32,.605,94.7,90.7,3.34
Chicago Bulls,45,37,.549,93.2,92.9,-0.02
Milwaukee Bucks,38,44,.463,98.9,100.4,-1.83
Detroit Pistons,29,53,.354,94.9,98.8,-4.33
Cleveland Cavaliers,24,58,.293,96.5,101.2,-4.87

Miami Heat,66,16,.805,102.9,95.0,7.03
Atlanta Hawks,44,38,.537,98.0,97.5,-0.08
Washington Wizards,29,53,.354,93.2,95.8,-2.78
Charlotte Bobcats,21,61,.256,93.4,102.7,-9.29
Orlando Magic,20,62,.244,94.1,101.1,-7.12
