Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Philadelphia 76ers,65,17,.793,112.1,104.4,7.53
Boston Celtics,56,26,.683,112.1,106.7,5.34
New Jersey Nets,49,33,.598,105.8,103.0,2.77
New York Knicks,44,38,.537,100.0,97.5,2.58
Washington Bullets,42,40,.512,99.2,99.3,0.20

Milwaukee Bucks,51,31,.622,106.6,102.2,4.32
Atlanta Hawks,43,39,.524,101.6,102.6,-0.72
Detroit Pistons,37,45,.451,112.7,113.1,-0.17
Chicago Bulls,28,54,.341,111.0,115.9,-4.41
Cleveland Cavaliers,23,59,.280,97.1,104.6,-6.78
Indiana Pacers,20,62,.244,108.7,114.5,-5.36
