Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,59,23,.720,112.6,106.0,6.57
Philadelphia 76ers,45,37,.549,106.5,106.6,0.11
Washington Bullets,42,40,.512,106.0,107.3,-1.02
New Jersey Nets,24,58,.293,108.5,113.5,-4.42
New York Knicks,24,58,.293,103.8,110.0,-5.42

Atlanta Hawks,57,25,.695,110.0,102.8,7.18
Detroit Pistons,52,30,.634,111.2,107.8,3.51
Milwaukee Bucks,50,32,.610,110.4,106.5,4.04
Indiana Pacers,41,41,.500,106.1,106.7,-0.17
Chicago Bulls,40,42,.488,104.8,103.9,1.26
Cleveland Cavaliers,31,51,.378,104.4,108.2,-3.19
