Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,62,20,.756,109.9,104.0,6.05
Philadelphia 76ers,62,20,.756,111.7,103.8,7.76
New York Knicks,50,32,.610,107.9,106.3,2.00
Washington Bullets,39,43,.476,105.6,105.6,0.42
New Jersey Nets,24,58,.293,106.9,113.0,-5.15

Milwaukee Bucks,60,22,.732,113.1,105.9,7.14
Chicago Bulls,45,37,.549,109.0,107.0,2.34
Indiana Pacers,44,38,.537,107.6,106.2,1.72
Atlanta Hawks,31,51,.378,104.9,108.0,-2.37
Cleveland Cavaliers,28,54,.341,105.7,110.6,-4.15
Detroit Pistons,21,61,.256,99.7,106.0,-5.58
