Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,50,32,.610,99.2,95.6,3.37
Toronto Raptors,40,42,.488,104.1,105.9,-1.83
New York Knicks,29,53,.354,102.1,105.9,-4.01
Philadelphia 76ers,27,55,.329,97.7,101.6,-3.93
New Jersey Nets,12,70,.146,92.4,101.5,-8.93

Cleveland Cavaliers,61,21,.744,102.1,95.6,6.17
Milwaukee Bucks,46,36,.561,97.7,96.0,1.37
Chicago Bulls,41,41,.500,97.5,99.1,-1.64
Indiana Pacers,32,50,.390,100.8,103.8,-3.11
Detroit Pistons,27,55,.329,94.0,99.1,-5.02

Orlando Magic,59,23,.720,102.8,95.3,7.12
Atlanta Hawks,53,29,.646,101.7,97.0,4.44
Miami Heat,47,35,.573,96.5,94.2,1.99
Charlotte Bobcats,44,38,.537,95.3,93.8,1.30
Washington Wizards,26,56,.317,96.2,101.0,-4.72
