Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Minnesota Timberwolves,58,24,.707,94.5,89.1,5.86
San Antonio Spurs,57,25,.695,91.5,84.3,7.51
Dallas Mavericks,52,30,.634,105.2,100.8,4.86
Memphis Grizzlies,50,32,.610,96.7,94.3,2.95
Houston Rockets,45,37,.549,89.8,88.0,2.28
Denver Nuggets,43,39,.524,97.2,96.1,1.65
Utah Jazz,42,40,.512,88.7,89.9,-0.53

Los Angeles Lakers,56,26,.683,98.2,94.3,4.35
Sacramento Kings,55,27,.671,102.8,97.8,5.41
Portland Trail Blazers,41,41,.500,90.7,92.0,-0.58
Golden State Warriors,37,45,.451,93.3,94.0,-0.07
Seattle SuperSonics,37,45,.451,97.1,97.8,0.02
Phoenix Suns,29,53,.354,94.2,97.9,-2.94
Los Angeles Clippers,28,54,.341,94.8,99.4,-3.74
