Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Utah Jazz,45,37,.549,115.0,113.8,0.81
Dallas Mavericks,43,39,.524,110.4,110.0,0.15
Denver Nuggets,38,44,.463,123.7,124.8,-1.27
Kansas City Kings,38,44,.463,110.0,111.5,-1.62
San Antonio Spurs,37,45,.451,120.3,120.5,-0.50
Houston Rockets,29,53,.354,110.6,113.7,-3.12

Los Angeles Lakers,54,28,.659,115.6,111.8,3.32
Portland Trail Blazers,48,34,.585,113.1,109.6,3.13
Seattle SuperSonics,42,40,.512,108.1,108.3,-0.34
Phoenix Suns,41,41,.500,111.0,110.1,0.65
Golden State Warriors,37,45,.451,109.9,113.3,-3.35
San Diego Clippers,30,52,.366,110.7,114.0,-3.21
