Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Boston Celtics,56,26,.683,111.5,105.7,5.22
Philadelphia 76ers,44,38,.537,105.4,105.6,-0.39
New York Knicks,39,43,.476,103.1,103.3,-0.43
Washington Bullets,30,52,.366,101.4,106.4,-4.84
New Jersey Nets,26,56,.317,102.9,107.5,-4.53
Miami Heat,24,58,.293,101.8,107.8,-5.91

Chicago Bulls,61,21,.744,110.0,101.0,8.57
Detroit Pistons,50,32,.610,100.1,96.8,3.08
Milwaukee Bucks,48,34,.585,106.4,104.0,2.33
Atlanta Hawks,43,39,.524,109.8,109.0,0.72
Indiana Pacers,41,41,.500,111.7,112.1,-0.37
Cleveland Cavaliers,33,49,.402,101.7,104.2,-2.33
Charlotte Hornets,26,56,.317,102.8,108.0,-4.95
