Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Kareem Abdul-Jabbar,26,MIL,74.0,528.0,905,0.583,81,43.8,27.0,14.5,4.8,1.4,3.5,.539,,.702,18.4,.250
2,Bob McAdoo,22,BUF,60.0,451.0,905,0.498,74,43.0,30.6,15.1,2.3,1.2,3.3,.547,,.793,15.3,.231
3,Bob Lanier,25,DET,37.0,395.0,905,0.436,81,37.6,22.5,13.3,4.2,1.4,3.0,.504,,.797,14.4,.227
4,Dave Cowens,25,BOS,3.0,91.0,905,0.101,80,41.9,19.0,15.7,4.4,1.2,1.3,.437,,.832,9.3,.134
5,Elvin Hayes,28,CAP,4.0,74.0,905,0.082,81,44.5,21.4,18.1,2.0,1.1,3.0,.423,,.721,10.6,.142
6,Walt Frazier,28,NYK,2.0,24.0,905,0.027,80,41.7,20.5,6.7,6.9,2.0,0.2,.472,,.838,10.9,.157
7,Rick Barry,29,GSW,0.0,10.0,905,0.011,80,36.5,25.1,6.8,6.1,2.1,0.5,.456,,.899,10.4,.172
8,Nate Thurmond,32,GSW,1.0,8.0,905,0.009,62,39.7,13.0,14.2,2.7,0.7,2.9,.444,,.666,6.0,.117
9T,John Havlicek,33,BOS,0.0,5.0,905,0.006,76,40.7,22.6,6.4,5.9,1.3,0.4,.456,,.832,9.7,.151
9T,Norm Van Lier,26,CHI,0.0,5.0,905,0.006,80,35.8,14.3,4.7,6.9,2.0,0.1,.406,,.778,5.2,.087
11T,Dave Bing,30,DET,0.0,3.0,905,0.003,81,38.6,18.8,3.5,6.9,1.3,0.2,.436,,.813,7.3,.113
11T,Phil Chenier,23,CAP,0.0,3.0,905,0.003,76,38.7,21.9,5.1,3.1,2.0,0.9,.434,,.820,7.4,.121
11T,Dave DeBusschere,33,NYK,0.0,3.0,905,0.003,71,38.0,18.1,10.7,3.6,0.9,0.5,.461,,.756,7.0,.125
11T,Clifford Ray,25,CHI,0.0,3.0,905,0.003,80,32.9,9.3,12.2,3.1,0.7,2.2,.511,,.608,8.2,.150
15T,Lucius Allen,26,MIL,0.0,2.0,905,0.002,72,33.2,17.6,4.0,5.2,1.9,0.3,.495,,.788,8.2,.164
15T,Bob Love,31,CHI,0.0,2.0,905,0.002,82,40.1,21.8,6.0,1.6,1.0,0.3,.417,,.818,5.8,.084
17T,Spencer Haywood,24,SEA,0.0,1.0,905,0.001,75,40.5,23.5,13.4,3.2,0.9,1.4,.457,,.814,9.7,.153
17T,Clyde Lee,29,GSW,0.0,1.0,905,0.001,54,30.4,5.9,11.1,1.3,0.5,0.3,.454,,.579,2.6,.076
17T,Pete Maravich,26,ATL,0.0,1.0,905,0.001,76,38.2,27.7,4.9,5.2,1.5,0.2,.457,,.826,7.6,.125
17T,Rudy Tomjanovich,25,HOU,0.0,1.0,905,0.001,80,40.3,24.5,9.0,3.1,1.1,0.8,.536,,.848,12.8,.191
