Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS
Golden State Warriors,73,9,.890,114.9,104.1,10.38
San Antonio Spurs,67,15,.817,103.5,92.9,10.28
Oklahoma City Thunder,55,27,.671,110.2,102.9,7.09
Los Angeles Clippers,53,29,.646,104.5,100.2,4.13
Portland Trail Blazers,44,38,.537,105.1,104.3,0.98
Dallas Mavericks,42,40,.512,102.3,102.6,-0.02
Memphis Grizzlies,42,40,.512,99.1,101.3,-2.14
Houston Rockets,41,41,.500,106.5,106.4,0.34
Utah Jazz,40,42,.488,97.7,95.9,1.84
Sacramento Kings,33,49,.402,106.6,109.1,-2.32
Denver Nuggets,33,49,.402,101.9,105.0,-2.81
New Orleans Pelicans,30,52,.366,102.7,106.5,-3.56
Minnesota Timberwolves,29,53,.354,102.4,106.0,-3.38
Phoenix Suns,23,59,.280,100.9,107.5,-6.32
Los Angeles Lakers,17,65,.207,97.3,106.9,-8.92
