Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Doug Collins,Illinois State University,8,415,13945,7427,1339,1368,.501,.000,.833,33.6,17.9,3.2,3.3,38.0,.131,0.4,8.5
2,2,CLE,Jim Brewer,University of Minnesota,9,703,15936,4099,4458,1038,.448,.077,.571,22.7,5.8,6.3,1.5,29.3,.088,0.8,11.1
3,3,BUF,Ernie DiGregorio,Providence College,5,312,7859,2997,610,1594,.415,,.902,25.2,9.6,2.0,5.1,2.5,.016,-4.5,-5.0
4,4,SEA,Mike Green,Louisiana Tech University,4,245,5410,2062,1329,340,.460,.000,.707,22.1,8.4,5.4,1.4,10.9,.097,-0.1,2.6
5,5,LAL,Kermit Washington,American University,10,507,12815,4666,4232,695,.526,.000,.656,25.3,9.2,8.3,1.4,36.0,.135,1.6,11.7
6,6,HOU,Ed Ratleff,California State University, Long Beach,5,338,8433,2813,1363,896,.454,,.803,24.9,8.3,4.0,2.7,13.8,.078,0.4,5.1
7,7,KCO,Ron Behagen,University of Minnesota,7,388,9131,3977,2712,624,.425,,.754,23.5,10.3,7.0,1.6,13.0,.068,-1.6,0.9
8,8,PHO,Mike Bantom,Saint Joseph's University,9,706,19725,8568,4517,1623,.468,.200,.692,27.9,12.1,6.4,2.3,34.8,.085,-0.1,9.4
9,9,ATL,Dwight Jones,University of Houston,10,766,16452,6230,4513,911,.471,.500,.740,21.5,8.1,5.9,1.2,27.6,.081,-1.3,3.0
10,10,ATL,John Brown,University of Missouri,7,486,10108,3614,2126,703,.453,,.783,20.8,7.4,4.4,1.4,16.2,.077,-1.4,1.5
