Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Bob McAdoo,23,BUF,81.0,547.0,965,0.567,82,43.2,34.5,14.1,2.2,1.1,2.1,.512,,.805,17.8,.242
2,Dave Cowens,26,BOS,32.0,310.0,965,0.321,65,40.5,20.4,14.7,4.6,1.3,1.1,.475,,.783,9.5,.173
3,Elvin Hayes,29,WSB,37.0,289.0,965,0.299,82,42.3,23.0,12.2,2.5,1.9,2.3,.443,,.766,12.5,.173
4,Rick Barry,30,GSW,16.0,254.0,965,0.263,80,40.4,30.6,5.7,6.2,2.9,0.4,.464,,.904,12.7,.188
5,Kareem Abdul-Jabbar,27,MIL,13.0,161.0,965,0.167,65,42.3,30.0,14.0,4.1,1.0,3.3,.513,,.763,12.9,.225
6,Tiny Archibald,26,KCO,2.0,30.0,965,0.031,82,39.6,26.5,2.7,6.8,1.5,0.1,.456,,.872,11.2,.165
7,John Havlicek,34,BOS,3.0,23.0,965,0.024,82,38.2,19.2,5.9,5.3,1.3,0.2,.455,,.870,9.7,.149
8,Phil Chenier,24,WSB,3.0,20.0,965,0.021,77,37.3,21.8,3.8,3.2,2.3,0.8,.450,,.825,8.8,.147
9,Wes Unseld,28,WSB,2.0,18.0,965,0.019,73,39.8,9.2,14.8,4.1,1.6,0.9,.502,,.685,10.6,.175
10,Sam Lacey,26,KCO,2.0,13.0,965,0.013,81,41.7,11.5,14.2,5.3,1.7,2.1,.427,,.754,7.4,.105
11,Norm Van Lier,27,CHI,0.0,9.0,965,0.009,70,37.0,15.0,4.7,5.8,2.0,0.2,.420,,.792,5.6,.104
12,Sidney Wicks,25,POR,1.0,8.0,965,0.008,82,38.6,21.7,10.7,3.5,1.3,1.0,.497,,.706,9.7,.147
13T,Spencer Haywood,25,SEA,0.0,7.0,965,0.007,68,37.2,22.4,9.3,2.0,0.8,1.6,.459,,.811,7.3,.138
13T,Bob Lanier,26,DET,0.0,7.0,965,0.007,76,39.3,24.0,12.0,4.6,1.0,2.3,.510,,.802,12.4,.199
15,Walt Frazier,29,NYK,0.0,6.0,965,0.006,78,41.1,21.5,6.0,6.1,2.4,0.2,.483,,.828,10.8,.161
16T,Mike Bantom,23,PHO,1.0,5.0,965,0.005,82,27.3,12.5,6.7,1.9,0.8,0.6,.461,,.714,4.5,.097
16T,Earl Monroe,30,NYK,0.0,5.0,965,0.005,78,36.1,20.9,4.2,3.5,1.4,0.4,.457,,.827,6.6,.113
16T,Chet Walker,34,CHI,0.0,5.0,965,0.005,76,32.3,19.2,5.7,2.2,0.6,0.1,.487,,.860,10.5,.205
19,Bob Love,32,CHI,0.0,4.0,965,0.004,61,39.4,22.0,6.3,1.7,1.0,0.2,.429,,.830,5.2,.103
20,Jim Chones,25,CLE,0.0,3.0,965,0.003,72,33.7,14.5,9.4,1.8,0.7,1.7,.487,,.679,6.2,.123
21T,Fred Brown,26,SEA,0.0,1.0,965,0.001,81,33.0,21.0,4.2,3.5,2.3,0.2,.480,,.831,7.9,.142
21T,Rudy Tomjanovich,26,HOU,0.0,1.0,965,0.001,81,38.7,20.7,7.6,2.9,0.9,0.3,.525,,.790,10.1,.155
