Type,Name,Stat-Value
Minutes Played,Elvin Hayes, 3602
Field Goals,Kareem Abdul-Jabbar, 948
Field Goal Attempts,Pete Maravich, 1791
2-Pt Field Goals,Kareem Abdul-Jabbar, 948
2-Pt Field Goal Attempts,Pete Maravich, 1791
Field Goals Missed,Bob Love, 1021
Free Throws,Gail Goodrich, 508
Free Throw Attempts,Gail Goodrich, 588
Offensive Rebounds,Elvin Hayes, 354
Defensive Rebounds,Elvin Hayes, 1109
Total Rebounds,Elvin Hayes, 1463
Assists,Ernie DiGregorio, 663
Steals,Larry Steele, 217
Blocks,Elmore Smith, 393
Personal Fouls,Kevin Porter, 319
Points,Bob McAdoo, 2261
Field Goal Pct,Bob McAdoo, .547
2-Pt Field Goal Pct,Bob McAdoo, .547
Free Throw Pct,Ernie DiGregorio, .902
Minutes Per Game,Elvin Hayes, 44.5
Points Per Game,Bob McAdoo, 30.6
Rebounds Per Game,Elvin Hayes, 18.1
Assists Per Game,Ernie DiGregorio, 8.2
Steals Per Game,Larry Steele, 2.7
Blocks Per Game,Elmore Smith, 4.9
Player Efficiency Rating,Bob McAdoo, 24.7
True Shooting Pct,Bob McAdoo, .594
Effective Field Goal Pct,Bob McAdoo, .547
Offensive Rebound Pct,Paul Silas, 12.8
Defensive Rebound Pct,Elvin Hayes, 29.7
Total Rebound Pct,Zaid Abdul-Aziz, 20.1
Assist Pct,Lenny Wilkens, 30.9
Steal Pct,Larry Steele, 3.6
Block Pct,Elmore Smith, 6.4
Defensive Rating,Bob Lanier, 88.0
Offensive Win Shares,Bob McAdoo, 10.9
Defensive Win Shares,Elvin Hayes, 8.1
Win Shares,Kareem Abdul-Jabbar, 18.4
Win Shares Per 48 Minutes,Kareem Abdul-Jabbar, .250
Box Plus/Minus,Kareem Abdul-Jabbar, 8.5
Offensive Box Plus/Minus,Rick Barry, 5.3
Defensive Box Plus/Minus,Clifford Ray, 4.8
Value Over Replacement Player,Kareem Abdul-Jabbar, 9.4
