Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS
Golden State Warriors,67,15,.817,115.9,104.3,11.35
San Antonio Spurs,61,21,.744,105.3,98.1,7.13
Houston Rockets,55,27,.671,115.3,109.6,5.84
Los Angeles Clippers,51,31,.622,108.7,104.4,4.42
Utah Jazz,51,31,.622,100.7,96.8,4.00
Oklahoma City Thunder,47,35,.573,106.6,105.8,1.14
Memphis Grizzlies,43,39,.524,100.5,100.0,0.96
Portland Trail Blazers,41,41,.500,107.9,108.5,-0.23
Denver Nuggets,40,42,.488,111.7,111.2,0.70
New Orleans Pelicans,34,48,.415,104.3,106.4,-1.69
Dallas Mavericks,33,49,.402,97.9,100.8,-2.53
Sacramento Kings,32,50,.390,102.8,106.7,-3.29
Minnesota Timberwolves,31,51,.378,105.6,106.7,-0.64
Los Angeles Lakers,26,56,.317,104.6,111.5,-6.29
Phoenix Suns,24,58,.293,107.7,113.3,-5.14
