Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Utah Jazz,51,31,.622,101.5,98.6,3.06
Denver Nuggets,45,37,.549,105.4,103.7,1.69
Portland Trail Blazers,32,50,.390,94.1,98.4,-3.78
Minnesota Timberwolves,32,50,.390,96.1,99.7,-3.16
Seattle SuperSonics,31,51,.378,99.1,102.0,-2.45

Phoenix Suns,61,21,.744,110.2,102.9,7.28
Los Angeles Lakers,42,40,.512,103.3,103.4,0.24
Golden State Warriors,42,40,.512,106.5,106.9,0.00
Los Angeles Clippers,40,42,.488,95.6,96.1,-0.07
Sacramento Kings,33,49,.402,101.3,103.1,-1.35

Dallas Mavericks,67,15,.817,100.0,92.8,7.28
San Antonio Spurs,58,24,.707,98.5,90.1,8.35
Houston Rockets,52,30,.634,97.0,92.1,5.04
New Orleans/Oklahoma City Hornets,39,43,.476,95.5,97.1,-1.19
Memphis Grizzlies,22,60,.268,101.6,106.7,-4.44
