Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Bill Russell,26,BOS,35.0,213.0,380,0.561,78,44.3,16.9,23.9,3.4,,.426,,.550,13.0,.181
2,Bob Pettit,28,STL,14.0,125.0,380,0.329,76,39.8,27.9,20.3,3.4,,.447,,.724,14.9,.237
3,Elgin Baylor,26,LAL,10.0,116.0,380,0.305,73,42.9,34.8,19.8,5.1,,.430,,.783,14.8,.227
4,Wilt Chamberlain,24,PHW,3.0,81.0,380,0.213,79,47.8,38.4,27.2,1.9,,.509,,.504,18.8,.240
5,Oscar Robertson,22,CIN,7.0,70.0,380,0.184,71,42.7,30.5,10.1,9.7,,.473,,.822,13.2,.210
6,Bob Cousy,32,BOS,2.0,17.0,380,0.045,76,32.5,18.1,4.4,7.7,,.371,,.779,7.2,.140
7,Tom Heinsohn,26,BOS,3.0,15.0,380,0.039,74,30.5,21.3,9.9,1.9,,.400,,.767,6.6,.141
8,Dolph Schayes,32,SYR,1.0,12.0,380,0.032,79,38.1,23.6,12.2,3.7,,.372,,.868,8.5,.136
9,Bailey Howell,24,DET,1.0,9.0,380,0.024,77,38.3,23.6,14.4,2.5,,.469,,.753,11.7,.190
10,Gene Shue,29,DET,0.0,8.0,380,0.021,78,43.1,22.6,4.3,6.8,,.421,,.856,7.6,.108
11,Jack Twyman,26,CIN,0.0,6.0,380,0.016,79,37.0,25.3,8.5,2.8,,.488,,.731,9.6,.157
12,Jerry West,22,LAL,1.0,5.0,380,0.013,79,35.4,17.6,7.7,4.2,,.419,,.666,6.6,.113
13,Clyde Lovellette,31,STL,0.0,4.0,380,0.011,67,31.5,22.0,10.1,2.6,,.453,,.830,8.5,.193
14,Cliff Hagan,29,STL,0.0,3.0,380,0.008,77,35.1,22.1,9.3,4.9,,.444,,.820,10.8,.193
15,Richie Guerin,28,NYK,0.0,2.0,380,0.005,79,38.3,21.8,7.9,6.4,,.396,,.792,5.4,.086
16T,Paul Arizin,32,PHW,0.0,1.0,380,0.003,79,37.2,23.2,8.6,2.4,,.425,,.833,9.7,.159
16T,Willie Naulls,26,NYK,0.0,1.0,380,0.003,79,37.7,23.4,13.4,2.4,,.428,,.816,5.7,.092
16T,Kenny Sears,27,NYK,0.0,1.0,380,0.003,52,26.8,14.4,5.6,2.0,,.424,,.825,4.0,.138
