Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Michael Olowokandi,University of the Pacific,9,500,13129,4135,3414,327,.435,,.597,26.3,8.3,6.8,0.7,2.5,.009,-4.5,-8.3
2,2,VAN,Mike Bibby,University of Arizona,14,1001,33962,14698,3103,5517,.436,.379,.802,33.9,14.7,3.1,5.5,73.2,.104,0.5,21.1
3,3,DEN,Raef LaFrentz,University of Kansas,10,563,14545,5690,3423,606,.466,.363,.711,25.8,10.1,6.1,1.1,39.4,.130,1.5,12.8
4,4,TOR,Antawn Jamison,University of North Carolina,16,1083,37638,20042,8157,1761,.451,.346,.724,34.8,18.5,7.5,1.6,87.8,.112,-0.2,17.4
5,5,GSW,Vince Carter,University of North Carolina,20,1405,44161,24868,6288,4579,.437,.373,.799,31.4,17.7,4.5,3.3,123.5,.134,2.9,54.8
6,6,DAL,Robert Traylor,University of Michigan,7,438,6243,2085,1640,312,.474,.167,.577,14.3,4.8,3.7,0.7,13.3,.102,0.3,3.6
7,7,SAC,Jason Williams,University of Florida,12,788,23188,8266,1810,4611,.398,.327,.813,29.4,10.5,2.3,5.9,38.5,.080,-0.7,7.8
8,8,PHI,Larry Hughes,Saint Louis University,13,727,22368,10242,3039,2290,.406,.309,.757,30.8,14.1,4.2,3.1,32.3,.069,-0.3,9.7
9,9,MIL,Dirk Nowitzki,20,1471,50573,31187,11331,3616,.472,.383,.879,34.4,21.2,7.7,2.5,206.1,.196,3.3,67.1
10,10,BOS,Paul Pierce,University of Kansas,19,1343,45880,26397,7527,4708,.445,.368,.806,34.2,19.7,5.6,3.5,150.0,.157,3.3,61.5
