Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

New York Knicks,57,25,.695,98.5,91.5,6.48
Orlando Magic,50,32,.610,105.7,101.8,3.68
New Jersey Nets,45,37,.549,103.2,101.0,2.11
Miami Heat,42,40,.512,103.4,100.7,2.40
Boston Celtics,32,50,.390,100.8,105.1,-4.28
Philadelphia 76ers,25,57,.305,98.0,105.6,-7.37
Washington Bullets,24,58,.293,100.4,107.7,-7.13

Atlanta Hawks,57,25,.695,101.4,96.2,4.94
Chicago Bulls,55,27,.671,98.0,94.9,2.87
Indiana Pacers,47,35,.573,101.0,97.5,3.26
Cleveland Cavaliers,47,35,.573,101.2,97.1,3.64
Charlotte Hornets,41,41,.500,106.5,106.7,-0.23
Milwaukee Bucks,20,62,.244,96.9,103.4,-6.24
Detroit Pistons,20,62,.244,96.9,104.7,-7.46
