Type,Name,Stat-Value
Minutes Played,Norm Nixon, 3226
Field Goals,George Gervin, 1024
Field Goal Attempts,George Gervin, 1940
2-Pt Field Goals,George Gervin, 992
2-Pt Field Goal Attempts,George Gervin, 1838
3-Pt Field Goals,Brian Taylor, 90
3-Pt Field Goal Attempts,Brian Taylor, 239
Field Goals Missed,George Gervin, 916
Free Throws,World B. Free, 572
Free Throw Attempts,Moses Malone, 783
Offensive Rebounds,Moses Malone, 573
Defensive Rebounds,Swen Nater, 864
Total Rebounds,Swen Nater, 1216
Assists,Micheal Ray Richardson, 832
Steals,Micheal Ray Richardson, 265
Blocks,Kareem Abdul-Jabbar, 280
Turnovers,Micheal Ray Richardson, 359
Personal Fouls,Darryl Dawkins, 328
Points,George Gervin, 2585
Field Goal Pct,Cedric Maxwell, .609
2-Pt Field Goal Pct,Cedric Maxwell, .609
3-Pt Field Goal Pct,Fred Brown, .443
Free Throw Pct,Rick Barry, .935
Minutes Per Game,Norm Nixon, 39.3
Points Per Game,George Gervin, 33.1
Rebounds Per Game,Swen Nater, 15.0
Assists Per Game,Micheal Ray Richardson, 10.1
Steals Per Game,Micheal Ray Richardson, 3.2
Blocks Per Game,Kareem Abdul-Jabbar, 3.4
Player Efficiency Rating,Julius Erving, 25.4
True Shooting Pct,Cedric Maxwell, .679
Effective Field Goal Pct,Cedric Maxwell, .609
Offensive Rebound Pct,Moses Malone, 19.6
Defensive Rebound Pct,Swen Nater, 33.8
Total Rebound Pct,Swen Nater, 23.0
Assist Pct,Micheal Ray Richardson, 34.1
Steal Pct,Dudley Bradley, 4.8
Block Pct,Tree Rollins, 6.8
Turnover Pct,Bingo Smith, 7.9
Usage Pct,World B. Free, 32.7
Offensive Rating,Cedric Maxwell, 123.5
Defensive Rating,Tree Rollins, 95.9
Offensive Win Shares,Kareem Abdul-Jabbar, 9.5
Defensive Win Shares,Larry Bird, 5.6
Win Shares,Kareem Abdul-Jabbar, 14.8
Win Shares Per 48 Minutes,Kareem Abdul-Jabbar, .227
Box Plus/Minus,Julius Erving, 7.2
Offensive Box Plus/Minus,Adrian Dantley, 5.6
Defensive Box Plus/Minus,George Johnson, 4.8
Value Over Replacement Player,Kareem Abdul-Jabbar, 6.8
