Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,TOR,Andrea Bargnani,10,550,15806,7873,2541,653,.439,.354,.824,28.7,14.3,4.6,1.2,18.9,.057,-2.2,-0.9
2,2,CHI,LaMarcus Aldridge,University of Texas at Austin,12,869,30077,16871,7224,1662,.489,.288,.806,34.6,19.4,8.3,1.9,97.6,.156,1.4,25.8
3,3,CHA,Adam Morrison,Gonzaga University,3,161,3278,1200,342,222,.373,.331,.710,20.4,7.5,2.1,1.4,-1.4,-.021,-5.5,-2.9
4,4,POR,Tyrus Thomas,Louisiana State University,8,402,7932,3093,1938,347,.438,.235,.732,19.7,7.7,4.8,0.9,13.0,.078,-1.1,1.7
5,5,ATL,Shelden Williams,Duke University,6,361,5586,1618,1562,163,.462,.222,.740,15.5,4.5,4.3,0.5,9.9,.085,-2.8,-1.2
6,6,MIN,Brandon Roy,University of Washington,6,326,11561,6136,1388,1517,.459,.348,.800,35.5,18.8,4.3,4.7,37.4,.155,3.2,15.2
7,7,BOS,Randy Foye,Villanova University,11,752,19279,7729,1686,2112,.401,.366,.852,25.6,10.3,2.2,2.8,23.5,.058,-1.3,3.4
8,8,HOU,Rudy Gay,University of Connecticut,12,810,28046,14515,4743,1783,.453,.343,.795,34.6,17.9,5.9,2.2,50.5,.086,0.5,17.5
9,9,GSW,Patrick O'Bryant,Bradley University,4,90,524,186,127,25,.494,.000,.583,5.8,2.1,1.4,0.3,0.5,.046,-3.1,-0.2
10,10,SEA,Mouhamed Sene,3,47,260,103,75,1,.427,,.589,5.5,2.2,1.6,0.0,0.3,.052,-9.3,-0.5
