Type,Name,Stat-Value
Minutes Played,Rodney McCray, 3238
Field Goals,Michael Jordan, 1034
Field Goal Attempts,Michael Jordan, 1964
2-Pt Field Goals,Michael Jordan, 942
2-Pt Field Goal Attempts,Michael Jordan, 1719
3-Pt Field Goals,Michael Adams, 158
3-Pt Field Goal Attempts,Michael Adams, 432
Field Goals Missed,Michael Jordan, 930
Free Throws,Karl Malone, 696
Free Throw Attempts,Karl Malone, 913
Offensive Rebounds,Moses Malone, 364
Defensive Rebounds,Hakeem Olajuwon, 850
Total Rebounds,Hakeem Olajuwon, 1149
Assists,John Stockton, 1134
Steals,Michael Jordan, 227
Blocks,Hakeem Olajuwon, 376
Turnovers,Isiah Thomas, 322
Personal Fouls,Rik Smits, 328
Points,Michael Jordan, 2753
Field Goal Pct,Mark West, .625
2-Pt Field Goal Pct,Charles Barkley, .632
3-Pt Field Goal Pct,Steve Kerr, .507
Free Throw Pct,Larry Bird, .930
Minutes Per Game,Rodney McCray, 39.5
Points Per Game,Michael Jordan, 33.6
Rebounds Per Game,Hakeem Olajuwon, 14.0
Assists Per Game,John Stockton, 14.5
Steals Per Game,Michael Jordan, 2.8
Blocks Per Game,Hakeem Olajuwon, 4.6
Player Efficiency Rating,Michael Jordan, 31.2
True Shooting Pct,Charles Barkley, .661
Effective Field Goal Pct,Mark West, .625
Offensive Rebound Pct,Dennis Rodman, 16.2
Defensive Rebound Pct,Hakeem Olajuwon, 28.3
Total Rebound Pct,Roy Tarpley, 20.3
Assist Pct,John Stockton, 57.4
Steal Pct,Alvin Robertson, 3.9
Block Pct,Hakeem Olajuwon, 7.0
Turnover Pct,Alex English, 6.3
Usage Pct,Michael Jordan, 33.7
Offensive Rating,Charles Barkley, 127.9
Defensive Rating,Hakeem Olajuwon, 93.4
Offensive Win Shares,Michael Jordan, 14.7
Defensive Win Shares,Hakeem Olajuwon, 8.7
Win Shares,Michael Jordan, 19.0
Win Shares Per 48 Minutes,Michael Jordan, .285
Box Plus/Minus,Michael Jordan, 10.6
Offensive Box Plus/Minus,Michael Jordan, 9.7
Defensive Box Plus/Minus,Hakeem Olajuwon, 5.8
Value Over Replacement Player,Michael Jordan, 10.1
