Type,Name,Stat-Value
Minutes Played,John Havlicek, 3698
Field Goals,Kareem Abdul-Jabbar, 1159
Field Goal Attempts,Kareem Abdul-Jabbar, 2019
2-Pt Field Goals,Kareem Abdul-Jabbar, 1159
2-Pt Field Goal Attempts,Kareem Abdul-Jabbar, 2019
Field Goals Missed,Elvin Hayes, 1086
Free Throws,Tiny Archibald, 677
Free Throw Attempts,Tiny Archibald, 824
Total Rebounds,Wilt Chamberlain, 1572
Assists,Lenny Wilkens, 766
Personal Fouls,Dave Cowens, 314
Points,Kareem Abdul-Jabbar, 2822
Field Goal Pct,Wilt Chamberlain, .649
2-Pt Field Goal Pct,Wilt Chamberlain, .649
Free Throw Pct,Jack Marin, .894
Minutes Per Game,John Havlicek, 45.1
Points Per Game,Kareem Abdul-Jabbar, 34.8
Rebounds Per Game,Wilt Chamberlain, 19.2
Assists Per Game,Jerry West, 9.7
Player Efficiency Rating,Kareem Abdul-Jabbar, 29.9
True Shooting Pct,Wilt Chamberlain, .610
Effective Field Goal Pct,Wilt Chamberlain, .649
Total Rebound Pct,Clifford Ray, 22.1
Assist Pct,Lenny Wilkens, 35.8
Offensive Win Shares,Kareem Abdul-Jabbar, 18.3
Defensive Win Shares,Wilt Chamberlain, 7.9
Win Shares,Kareem Abdul-Jabbar, 25.4
Win Shares Per 48 Minutes,Kareem Abdul-Jabbar, .340
