Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Seattle SuperSonics,52,30,.634,98.9,96.6,2.59
Denver Nuggets,49,33,.598,99.5,97.5,2.23
Minnesota Timberwolves,44,38,.537,96.8,95.3,1.73
Portland Trail Blazers,27,55,.329,92.9,96.9,-3.45
Utah Jazz,26,56,.317,93.0,97.3,-3.74

Phoenix Suns,62,20,.756,110.4,103.3,7.08
Sacramento Kings,50,32,.610,103.7,101.6,2.56
Los Angeles Clippers,37,45,.451,95.7,96.5,-0.47
Los Angeles Lakers,34,48,.415,98.7,101.7,-2.32
Golden State Warriors,34,48,.415,98.7,100.9,-1.74

San Antonio Spurs,59,23,.720,96.2,88.4,7.84
Dallas Mavericks,58,24,.707,102.5,96.8,5.86
Houston Rockets,51,31,.622,95.1,91.0,4.27
Memphis Grizzlies,45,37,.549,93.4,91.1,2.64
New Orleans Hornets,18,64,.220,88.4,95.5,-6.30
