Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Utah Jazz,55,27,.671,108.3,101.9,5.70
San Antonio Spurs,47,35,.573,104.0,100.6,2.81
Houston Rockets,42,40,.512,102.0,103.7,-1.94
Denver Nuggets,24,58,.293,99.7,107.6,-7.59
Dallas Mavericks,22,60,.268,97.6,105.3,-7.47
Minnesota Timberwolves,15,67,.183,100.5,107.5,-6.85

Portland Trail Blazers,57,25,.695,111.4,104.1,6.94
Golden State Warriors,55,27,.671,118.7,114.8,3.77
Phoenix Suns,53,29,.646,112.1,106.2,5.68
Seattle SuperSonics,47,35,.573,106.5,104.7,1.86
Los Angeles Clippers,45,37,.549,102.9,101.9,1.10
Los Angeles Lakers,43,39,.524,100.4,101.5,-0.95
Sacramento Kings,29,53,.354,104.3,110.3,-5.63
