Type,Name,Stat-Value
Minutes Played,Allen Iverson, 3424
Field Goals,LeBron James, 794
Field Goal Attempts,Kobe Bryant, 1690
2-Pt Field Goals,Al Jefferson, 721
2-Pt Field Goal Attempts,Al Jefferson, 1436
3-Pt Field Goals,Jason Richardson, 243
3-Pt Field Goal Attempts,Jason Richardson, 599
Field Goals Missed,Kobe Bryant, 915
Free Throws,Allen Iverson, 645
Free Throw Attempts,Dwight Howard, 897
Offensive Rebounds,Tyson Chandler, 322
Defensive Rebounds,Dwight Howard, 882
Total Rebounds,Dwight Howard, 1161
Assists,Chris Paul, 925
Steals,Chris Paul, 217
Blocks,Marcus Camby, 285
Turnovers,Steve Nash, 295
Personal Fouls,Mikki Moore, 310
Points,Kobe Bryant, 2323
Field Goal Pct,Andris Biedrins, .626
2-Pt Field Goal Pct,Andris Biedrins, .626
3-Pt Field Goal Pct,Jason Kapono, .483
Free Throw Pct,Peja Stojakovic, .929
Minutes Per Game,Allen Iverson, 41.8
Points Per Game,LeBron James, 30.0
Rebounds Per Game,Dwight Howard, 14.2
Assists Per Game,Chris Paul, 11.6
Steals Per Game,Chris Paul, 2.7
Blocks Per Game,Marcus Camby, 3.6
Player Efficiency Rating,LeBron James, 29.1
True Shooting Pct,Amar'e Stoudemire, .656
Effective Field Goal Pct,Andris Biedrins, .626
Offensive Rebound Pct,Jeff Foster, 14.9
Defensive Rebound Pct,Dwight Howard, 31.6
Total Rebound Pct,Dwight Howard, 21.7
Assist Pct,Chris Paul, 52.2
Steal Pct,Chris Paul, 3.9
Block Pct,Marcus Camby, 7.3
Turnover Pct,Peja Stojakovic, 5.3
Usage Pct,LeBron James, 33.5
Offensive Rating,Andris Biedrins, 127.4
Defensive Rating,Kevin Garnett, 93.8
Offensive Win Shares,Chris Paul, 13.2
Defensive Win Shares,Dwight Howard, 6.4
Win Shares,Chris Paul, 17.8
Win Shares Per 48 Minutes,Chris Paul, .284
Box Plus/Minus,LeBron James, 11.2
Offensive Box Plus/Minus,LeBron James, 9.0
Defensive Box Plus/Minus,Marcus Camby, 6.6
Value Over Replacement Player,LeBron James, 10.1
