Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving,Duke University,7,441,14955,9698,1517,2420,.462,.388,.875,33.9,22.0,3.4,5.5,49.3,.158,3.4,20.2
2,2,MIN,Derrick Williams,University of Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-3.2,-2.6
3,3,UTA,Enes Kanter,7,516,11309,6031,3777,374,.539,.294,.779,21.9,11.7,7.3,0.7,34.1,.145,-1.7,0.8
4,4,CLE,Tristan Thompson,University of Texas at Austin,7,519,14453,4685,4378,418,.518,.000,.608,27.8,9.0,8.4,0.8,37.4,.124,-0.7,4.9
5,5,TOR,Jonas Valanciunas,6,440,11210,5140,3745,321,.558,.397,.785,25.5,11.7,8.5,0.7,41.2,.176,-0.2,5.2
6,6,WAS,Jan Vesely,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-0.6,0.9
7,7,SAC,Bismack Biyombo,7,529,11052,2644,3413,255,.513,.000,.566,20.9,5.0,6.5,0.5,20.9,.091,-2.0,-0.1
8,8,DET,Brandon Knight,University of Kentucky,6,382,11939,5820,1277,1629,.415,.357,.812,31.3,15.2,3.3,4.3,11.6,.047,-1.2,2.3
9,9,CHA,Kemba Walker,University of Connecticut,7,523,17744,9907,1955,2824,.415,.358,.834,33.9,18.9,3.7,5.4,41.2,.111,2.3,19.4
10,10,MIL,Jimmer Fredette,Brigham Young University,5,235,3148,1416,236,323,.412,.381,.876,13.4,6.0,1.0,1.4,2.4,.037,-4.0,-1.6
