Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

Houston Rockets,55,27,.671,104.0,99.8,3.57
San Antonio Spurs,49,33,.598,105.5,102.8,2.21
Utah Jazz,47,35,.573,106.2,104.0,1.74
Denver Nuggets,36,46,.439,105.2,106.9,-2.14
Minnesota Timberwolves,19,63,.232,98.1,105.9,-7.62
Dallas Mavericks,11,71,.134,99.3,114.5,-14.68

Phoenix Suns,62,20,.756,113.4,106.7,6.27
Seattle SuperSonics,55,27,.671,108.3,101.3,6.66
Portland Trail Blazers,51,31,.622,108.5,105.4,2.92
Los Angeles Clippers,41,41,.500,107.1,106.8,0.33
Los Angeles Lakers,39,43,.476,104.2,105.5,-1.20
Golden State Warriors,34,48,.415,109.9,110.9,-0.94
Sacramento Kings,25,57,.305,107.9,111.1,-3.00
