Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Willis Reed,27,NYK,61.0,498.0,775,0.643,81,38.1,21.7,13.9,2.0,,.507,,.756,14.6,.227
2,Jerry West,31,LAL,51.0,457.0,775,0.590,74,42.0,31.2,4.6,7.5,,.497,,.824,15.2,.234
3,Kareem Abdul-Jabbar,22,MIL,30.0,335.0,775,0.432,82,43.1,28.8,14.5,4.1,,.518,,.653,13.8,.187
4,Walt Frazier,24,NYK,4.0,50.0,775,0.065,77,39.5,20.9,6.0,8.2,,.518,,.748,15.0,.236
5T,Billy Cunningham,26,PHI,2.0,27.0,775,0.035,81,39.4,26.1,13.6,4.3,,.469,,.729,10.3,.155
5T,Connie Hawkins,27,PHO,2.0,27.0,775,0.035,81,40.9,24.6,10.4,4.8,,.490,,.779,10.2,.147
7,Lou Hudson,25,ATL,2.0,23.0,775,0.030,80,38.6,25.4,4.7,3.5,,.531,,.824,11.1,.172
8T,Bill Bridges,30,ATL,1.0,12.0,775,0.015,82,39.9,14.8,14.4,4.2,,.475,,.734,6.6,.097
8T,Wes Unseld,23,BAL,0.0,12.0,775,0.015,82,39.4,16.2,16.7,3.5,,.518,,.638,11.1,.164
10,John Havlicek,29,BOS,1.0,9.0,775,0.012,81,41.6,24.2,7.8,6.8,,.464,,.844,10.6,.151
11,Nate Thurmond,28,SFW,1.0,5.0,775,0.006,43,44.6,21.9,17.7,3.5,,.414,,.754,3.7,.093
12T,Walt Bellamy,30,TOT,0.0,3.0,775,0.004,79,25.7,11.6,8.9,1.8,,.523,,.576,4.9,.115
12T,Joe Caldwell,28,ATL,0.0,3.0,775,0.004,82,34.8,21.1,5.0,3.5,,.507,,.688,7.9,.132
12T,Walt Hazzard,27,ATL,0.0,3.0,775,0.004,82,33.6,15.3,4.0,6.8,,.467,,.809,5.0,.088
15,Elgin Baylor,35,LAL,0.0,2.0,775,0.003,54,41.0,24.0,10.4,5.4,,.486,,.773,7.8,.168
16T,Bob Love,27,CHI,0.0,1.0,775,0.001,82,38.1,21.0,8.7,1.8,,.466,,.842,8.6,.132
16T,Earl Monroe,25,BAL,0.0,1.0,775,0.001,82,37.2,23.4,3.1,4.9,,.446,,.830,8.3,.130
16T,Otto Moore,23,DET,0.0,1.0,775,0.001,81,31.1,11.9,11.1,1.3,,.476,,.636,3.5,.067
16T,Oscar Robertson,31,CIN,0.0,1.0,775,0.001,69,41.5,25.3,6.1,8.1,,.511,,.809,11.4,.191
