Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,University of Kentucky,3,246,8575,5307,2877,580,.543,.387,.836,34.9,21.6,11.7,2.4,34.9,.196,4.5,14.0
2,2,LAL,D'Angelo Russell,Ohio State University,3,191,5304,2781,684,818,.409,.344,.754,27.8,14.6,3.6,4.3,1.7,.015,-1.0,1.3
3,3,PHI,Jahlil Okafor,Duke University,3,131,3078,1694,698,135,.515,.200,.682,23.5,12.9,5.3,1.0,3.0,.047,-3.9,-1.4
4,4,NYK,Kristaps Porzingis,3,186,5764,3312,1317,248,.437,.361,.804,31.0,17.8,7.1,1.3,12.1,.100,-0.1,2.8
5,5,ORL,Mario Hezonja,3,219,4030,1517,603,277,.418,.332,.837,18.4,6.9,2.8,1.3,2.5,.029,-2.7,-0.7
6,6,SAC,Willie Cauley-Stein,University of Kentucky,3,214,4877,2006,1201,289,.524,.188,.641,22.8,9.4,5.6,1.4,10.7,.105,0.0,2.5
7,7,DEN,Emmanuel Mudiay,3,187,4719,2028,562,795,.374,.317,.731,25.2,10.8,3.0,4.3,-2.0,-.020,-4.2,-2.7
8,8,DET,Stanley Johnson,University of Arizona,3,219,4952,1531,747,335,.370,.295,.760,22.6,7.0,3.4,1.5,2.8,.027,-2.0,0.0
9,9,CHO,Frank Kaminsky,University of Wisconsin,3,235,5497,2353,959,389,.412,.347,.765,23.4,10.0,4.1,1.7,9.2,.080,-1.2,1.1
10,10,MIA,Justise Winslow,Duke University,3,164,4537,1227,866,331,.410,.314,.653,27.7,7.5,5.3,2.0,5.0,.053,-1.1,1.1
