Eastern Conference,W,L,W/L%,PS/G,PA/G,SRS

San Antonio Spurs,58,24,.707,96.2,88.4,7.92
Utah Jazz,53,29,.646,97.1,92.4,5.00
Dallas Mavericks,53,29,.646,100.5,96.2,4.61
Minnesota Timberwolves,47,35,.573,97.3,96.0,1.81
Houston Rockets,45,37,.549,97.2,94.9,2.71
Denver Nuggets,40,42,.488,96.6,99.0,-1.83
Vancouver Grizzlies,23,59,.280,91.7,97.5,-4.94

Los Angeles Lakers,56,26,.683,100.6,97.2,3.74
Sacramento Kings,55,27,.671,101.7,95.9,6.07
Phoenix Suns,51,31,.622,94.0,91.8,2.63
Portland Trail Blazers,50,32,.610,95.4,91.2,4.52
Seattle SuperSonics,44,38,.537,97.3,97.3,0.55
Los Angeles Clippers,31,51,.378,92.5,95.3,-2.23
Golden State Warriors,17,65,.207,92.5,101.5,-8.11
