Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Bill Russell,28,BOS,56.0,341.0,505,0.675,78,44.9,16.8,23.6,4.5,,.432,,.555,13.5,.185
2,Elgin Baylor,28,LAL,19.0,221.0,505,0.438,80,42.1,34.0,14.3,4.8,,.453,,.837,14.4,.205
3,Oscar Robertson,24,CIN,19.0,191.0,505,0.378,80,44.0,28.3,10.4,9.5,,.518,,.810,16.8,.229
4,Bob Pettit,30,STL,3.0,84.0,505,0.166,79,39.1,28.4,15.1,3.1,,.446,,.774,14.3,.222
5,Jerry West,24,LAL,2.0,19.0,505,0.038,55,39.3,27.1,7.0,5.6,,.461,,.778,8.1,.180
6,Red Kerr,30,SYR,1.0,13.0,505,0.026,80,32.0,15.7,13.0,2.7,,.474,,.753,7.7,.144
7,Wilt Chamberlain,26,SFW,0.0,9.0,505,0.018,80,47.6,44.8,24.3,3.4,,.528,,.593,20.9,.264
8T,Terry Dischinger,22,CHZ,1.0,5.0,505,0.010,57,40.2,25.5,8.0,3.1,,.512,,.770,9.2,.192
8T,Bob Cousy,34,BOS,0.0,5.0,505,0.010,76,26.0,13.2,2.5,6.8,,.397,,.735,5.2,.126
10,John Havlicek,22,BOS,0.0,3.0,505,0.006,80,27.5,14.3,6.7,2.2,,.445,,.728,6.4,.139
11T,John Barnhill,24,STL,0.0,1.0,505,0.002,77,35.0,11.7,4.7,4.2,,.430,,.710,4.6,.082
11T,Walt Bellamy,23,CHZ,0.0,1.0,505,0.002,80,41.3,27.9,16.4,2.9,,.527,,.674,13.7,.199
