Type,Name,Stat-Value
Minutes Played,Tiny Archibald, 3681
Field Goals,Tiny Archibald, 1028
Field Goal Attempts,Tiny Archibald, 2106
2-Pt Field Goals,Tiny Archibald, 1028
2-Pt Field Goal Attempts,Tiny Archibald, 2106
Field Goals Missed,Tiny Archibald, 1078
Free Throws,Tiny Archibald, 663
Free Throw Attempts,Tiny Archibald, 783
Total Rebounds,Wilt Chamberlain, 1526
Assists,Tiny Archibald, 910
Personal Fouls,Neal Walk, 323
Points,Tiny Archibald, 2719
Field Goal Pct,Wilt Chamberlain, .727
2-Pt Field Goal Pct,Wilt Chamberlain, .727
Free Throw Pct,Rick Barry, .902
Minutes Per Game,Tiny Archibald, 46.0
Points Per Game,Tiny Archibald, 34.0
Rebounds Per Game,Wilt Chamberlain, 18.6
Assists Per Game,Tiny Archibald, 11.4
Player Efficiency Rating,Kareem Abdul-Jabbar, 28.5
True Shooting Pct,Wilt Chamberlain, .689
Effective Field Goal Pct,Wilt Chamberlain, .727
Total Rebound Pct,Clifford Ray, 19.9
Assist Pct,Tiny Archibald, 38.9
Offensive Win Shares,Kareem Abdul-Jabbar, 14.4
Defensive Win Shares,Dave Cowens, 9.9
Win Shares,Kareem Abdul-Jabbar, 21.9
Win Shares Per 48 Minutes,Kareem Abdul-Jabbar, .323
