Type,Name,Stat-Value
Minutes Played,Andre Iguodala, 3269
Field Goals,Dwyane Wade, 854
Field Goal Attempts,Dwyane Wade, 1739
2-Pt Field Goals,Dwyane Wade, 766
2-Pt Field Goal Attempts,Dwyane Wade, 1461
3-Pt Field Goals,Rashard Lewis, 220
3-Pt Field Goal Attempts,Rashard Lewis, 554
Field Goals Missed,Kobe Bryant, 912
Free Throws,LeBron James, 594
Free Throw Attempts,Dwight Howard, 849
Offensive Rebounds,Dwight Howard, 336
Defensive Rebounds,Dwight Howard, 757
Total Rebounds,Dwight Howard, 1093
Assists,Chris Paul, 861
Steals,Chris Paul, 216
Blocks,Dwight Howard, 231
Turnovers,Russell Westbrook, 274
Personal Fouls,Jason Thompson, 314
Points,Dwyane Wade, 2386
Field Goal Pct,Shaquille O'Neal, .609
2-Pt Field Goal Pct,Shaquille O'Neal, .610
3-Pt Field Goal Pct,Anthony Morrow, .467
Free Throw Pct,Jose Calderon, .981
Minutes Per Game,Andre Iguodala, 39.9
Points Per Game,Dwyane Wade, 30.2
Rebounds Per Game,Dwight Howard, 13.8
Assists Per Game,Chris Paul, 11.0
Steals Per Game,Chris Paul, 2.8
Blocks Per Game,Dwight Howard, 2.9
Player Efficiency Rating,LeBron James, 31.7
True Shooting Pct,Nene Hilario, .645
Effective Field Goal Pct,Shaquille O'Neal, .609
Offensive Rebound Pct,Kevin Love, 15.1
Defensive Rebound Pct,Joel Przybilla, 33.1
Total Rebound Pct,Joel Przybilla, 22.8
Assist Pct,Chris Paul, 54.5
Steal Pct,Chris Paul, 3.9
Block Pct,Ronny Turiaf, 6.9
Turnover Pct,Daequan Cook, 5.9
Usage Pct,Dwyane Wade, 36.2
Offensive Rating,Pau Gasol, 125.6
Defensive Rating,Dwight Howard, 94.6
Offensive Win Shares,LeBron James, 13.7
Defensive Win Shares,Dwight Howard, 7.6
Win Shares,LeBron James, 20.3
Win Shares Per 48 Minutes,LeBron James, .318
Box Plus/Minus,LeBron James, 13.0
Offensive Box Plus/Minus,LeBron James, 9.4
Defensive Box Plus/Minus,Dwight Howard, 4.3
Value Over Replacement Player,LeBron James, 11.6
