Type,Name,Stat-Value
Minutes Played,Elvin Hayes, 3364
Field Goals,Kareem Abdul-Jabbar, 888
Field Goal Attempts,Pete Maravich, 2047
2-Pt Field Goals,Kareem Abdul-Jabbar, 888
2-Pt Field Goal Attempts,Pete Maravich, 2047
Field Goals Missed,Pete Maravich, 1161
Free Throws,Pete Maravich, 501
Free Throw Attempts,David Thompson, 623
Offensive Rebounds,Moses Malone, 437
Defensive Rebounds,Kareem Abdul-Jabbar, 824
Total Rebounds,Kareem Abdul-Jabbar, 1090
Assists,Don Buse, 685
Steals,Don Buse, 281
Blocks,Kareem Abdul-Jabbar, 261
Personal Fouls,Lonnie Shelton, 363
Points,Pete Maravich, 2273
Field Goal Pct,Kareem Abdul-Jabbar, .579
2-Pt Field Goal Pct,Kareem Abdul-Jabbar, .579
Free Throw Pct,Ernie DiGregorio, .945
Minutes Per Game,Pete Maravich, 41.7
Points Per Game,Pete Maravich, 31.1
Rebounds Per Game,Bill Walton, 14.4
Assists Per Game,Don Buse, 8.5
Steals Per Game,Don Buse, 3.5
Blocks Per Game,Bill Walton, 3.2
Player Efficiency Rating,Kareem Abdul-Jabbar, 27.8
True Shooting Pct,Dave Twardzik, .689
Effective Field Goal Pct,Kareem Abdul-Jabbar, .579
Offensive Rebound Pct,Moses Malone, 19.8
Defensive Rebound Pct,Bill Walton, 32.3
Total Rebound Pct,Moses Malone, 23.4
Assist Pct,Kevin Porter, 34.6
Steal Pct,Don Buse, 4.3
Block Pct,George Johnson, 5.4
Defensive Rating,Bobby Jones, 89.9
Offensive Win Shares,Kareem Abdul-Jabbar, 11.9
Defensive Win Shares,Kareem Abdul-Jabbar, 5.9
Win Shares,Kareem Abdul-Jabbar, 17.8
Win Shares Per 48 Minutes,Kareem Abdul-Jabbar, .283
Box Plus/Minus,Kareem Abdul-Jabbar, 10.8
Offensive Box Plus/Minus,Kareem Abdul-Jabbar, 7.7
Defensive Box Plus/Minus,Bobby Jones, 4.6
Value Over Replacement Player,Kareem Abdul-Jabbar, 9.7
